participant	session	TrialNumber	sf	ori	ran	order	choice	RT
Nobody	1	33	2.0	120	1.0	32.0	0.0	1.56713
Nobody	1	34	1.0	150	1.0	33.0	1.0	0.628868
Nobody	1	35	1.0	120	1.0	34.0	0.0	1.28873
Nobody	1	36	0.5	90	1.0	35.0	0.0	0.446178
Nobody	1	37	2.0	150	1.0	36.0	0.0	1.6654
Nobody	1	38	0.5	120	1.0	37.0	0.0	0.390704
Nobody	1	39	2.0	90	1.0	38.0	0.0	1.59439
Nobody	1	40	1.0	150	1.0	39.0	1.0	0.649259
Nobody	1	41	2.0	120	1.0	40.0	1.0	1.17235
Nobody	1	42	0.5	150	1.0	41.0	0.0	0.456424
Nobody	1	43	0.5	90	1.0	42.0	0.0	0.422002
Nobody	1	44	1.0	120	1.0	43.0	1.0	0.785375
Nobody	1	45	1.0	90	1.0	44.0	1.0	0.742958
Nobody	1	46	0.5	150	1.0	45.0	0.0	0.63972
Nobody	1	47	0.5	90	1.0	46.0	0.0	1.15424
Nobody	1	48	1.0	150	1.0	47.0	0.0	1.43238
Nobody	1	49	1.0	120	1.0	48.0	0.0	1.49857
Nobody	1	50	2.0	120	1.0	49.0	0.0	1.70759
Nobody	1	51	2.0	150	1.0	50.0	1.0	1.70139
Nobody	1	52	2.0	90	1.0	51.0	0.0	1.28824
Nobody	1	53	0.5	120	1.0	52.0	1.0	0.425933
Nobody	1	54	1.0	90	1.0	53.0	1.0	1.05095
Nobody	1	55	0.5	150	1.0	54.0	0.0	1.22766
Nobody	1	56	1.0	120	1.0	55.0	1.0	0.819434
Nobody	1	57	0.5	120	1.0	56.0	1.0	1.23606
Nobody	1	58	1.0	150	1.0	57.0	1.0	1.2231
Nobody	1	59	1.0	90	1.0	58.0	1.0	1.37051
Nobody	1	60	2.0	150	1.0	59.0	0.0	1.57009
Nobody	1	61	0.5	90	1.0	60.0	0.0	1.05706
Nobody	1	62	2.0	90	1.0	61.0	0.0	1.3643
Nobody	1	63	2.0	120	1.0	62.0	1.0	1.65434
Nobody	1	64	1.0	120	1.0	63.0	1.0	0.574004
Nobody	1	65	0.5	120	1.0	64.0	1.0	0.252979
Nobody	1	66	0.5	90	1.0	65.0	0.0	0.603462
Nobody	1	67	1.0	90	1.0	66.0	1.0	0.759908
Nobody	1	68	2.0	90	1.0	67.0	1.0	1.27329
Nobody	1	69	2.0	120	1.0	68.0	0.0	1.01387
Nobody	1	70	0.5	150	1.0	69.0	1.0	1.05941
Nobody	1	71	2.0	150	1.0	70.0	0.0	1.02181
Nobody	1	72	1.0	150	1.0	71.0	1.0	0.617892
Nobody	1	73	2.0	90	1.0	72.0	0.0	1.97398
Nobody	1	74	0.5	120	1.0	73.0	1.0	0.757603
Nobody	1	75	1.0	150	1.0	74.0	0.0	1.33161
Nobody	1	76	1.0	90	1.0	75.0	1.0	0.953947
Nobody	1	77	2.0	120	1.0	76.0	0.0	1.5077
Nobody	1	78	2.0	150	1.0	77.0	0.0	1.9637
Nobody	1	79	1.0	120	1.0	78.0	0.0	0.909178
Nobody	1	80	0.5	90	1.0	79.0	0.0	0.964299
Nobody	1	81	0.5	150	1.0	80.0	1.0	1.13541
Nobody	1	82	1.0	150	1.0	81.0	1.0	1.14258
Nobody	1	83	0.5	120	1.0	82.0	0.0	0.803869
Nobody	1	84	0.5	90	1.0	83.0	1.0	0.303864
Nobody	1	85	1.0	90	1.0	84.0	1.0	1.39005
Nobody	1	86	2.0	120	1.0	85.0	1.0	1.86562
Nobody	1	87	2.0	90	1.0	86.0	1.0	1.74883
Nobody	1	88	0.5	150	1.0	87.0	0.0	0.912938
Nobody	1	89	1.0	120	1.0	88.0	0.0	0.667679
Nobody	1	90	2.0	150	1.0	89.0	1.0	1.31864
participant	session	TrialNumber	sf	ori	ran	order	choice	RT
Nobody	1	1	0.5	90	1.0	0.0	0.0	0.88619
Nobody	1	2	2.0	150	1.0	1.0	0.0	1.835
Nobody	1	3	0.5	120	1.0	2.0	0.0	0.599389
Nobody	1	4	0.5	150	1.0	3.0	0.0	0.936235
Nobody	1	5	1.0	120	1.0	4.0	1.0	1.01029
Nobody	1	6	2.0	120	1.0	5.0	1.0	1.74117
Nobody	1	7	1.0	90	1.0	6.0	0.0	0.918513
Nobody	1	8	2.0	90	1.0	7.0	0.0	1.38453
Nobody	1	9	1.0	150	1.0	8.0	0.0	1.2885
Nobody	1	10	2.0	150	1.0	9.0	1.0	1.08136
Nobody	1	11	2.0	90	1.0	10.0	1.0	1.91706
Nobody	1	12	0.5	90	1.0	11.0	1.0	0.827723
Nobody	1	13	0.5	120	1.0	12.0	0.0	0.777181
Nobody	1	14	1.0	90	1.0	13.0	0.0	0.719445
Nobody	1	15	0.5	150	1.0	14.0	0.0	0.329308
Nobody	1	16	1.0	120	1.0	15.0	1.0	1.24187
Nobody	1	17	2.0	120	1.0	16.0	0.0	1.7723
Nobody	1	18	1.0	150	1.0	17.0	1.0	1.10551
Nobody	1	19	1.0	90	1.0	18.0	0.0	0.698723
Nobody	1	20	1.0	120	1.0	19.0	0.0	1.13348
Nobody	1	21	1.0	150	1.0	20.0	0.0	1.19105
Nobody	1	22	2.0	150	1.0	21.0	0.0	1.49632
Nobody	1	23	2.0	120	1.0	22.0	1.0	1.21288
Nobody	1	24	0.5	150	1.0	23.0	1.0	0.336864
Nobody	1	25	0.5	90	1.0	24.0	1.0	0.470772
Nobody	1	26	2.0	90	1.0	25.0	0.0	1.36775
Nobody	1	27	0.5	120	1.0	26.0	1.0	0.465325
Nobody	1	28	2.0	120	1.0	27.0	0.0	1.1713
Nobody	1	29	2.0	150	1.0	28.0	0.0	1.08227
Nobody	1	30	1.0	90	1.0	29.0	0.0	0.813477
Nobody	1	31	1.0	150	1.0	30.0	1.0	1.35762
Nobody	1	32	0.5	120	1.0	31.0	0.0	1.22539
Nobody	1	33	0.5	150	1.0	32.0	0.0	0.6415
Nobody	1	34	1.0	120	1.0	33.0	1.0	0.679884
Nobody	1	35	0.5	90	1.0	34.0	0.0	1.0317
Nobody	1	36	2.0	90	1.0	35.0	0.0	1.60209
Nobody	1	37	1.0	150	1.0	36.0	0.0	1.4682
Nobody	1	38	0.5	150	1.0	37.0	0.0	1.00369
Nobody	1	39	0.5	90	1.0	38.0	0.0	0.947377
Nobody	1	40	2.0	90	1.0	39.0	1.0	1.3099
Nobody	1	41	0.5	120	1.0	40.0	0.0	0.603447
Nobody	1	42	1.0	90	1.0	41.0	0.0	1.20377
Nobody	1	43	1.0	120	1.0	42.0	0.0	1.43911
Nobody	1	44	2.0	150	1.0	43.0	1.0	1.88886
Nobody	1	45	2.0	120	1.0	44.0	1.0	1.73451
Nobody	1	46	0.5	150	1.0	45.0	1.0	0.896261
Nobody	1	47	1.0	90	1.0	46.0	0.0	1.00531
Nobody	1	48	0.5	120	1.0	47.0	0.0	0.319607
Nobody	1	49	1.0	150	1.0	48.0	1.0	1.05697
Nobody	1	50	1.0	120	1.0	49.0	1.0	0.843518
Nobody	1	51	0.5	90	1.0	50.0	0.0	0.987692
Nobody	1	52	2.0	90	1.0	51.0	0.0	1.45748
Nobody	1	53	2.0	150	1.0	52.0	0.0	1.67738
Nobody	1	54	2.0	120	1.0	53.0	1.0	1.52561
Nobody	1	55	1.0	150	1.0	54.0	0.0	0.586642
Nobody	1	56	1.0	90	1.0	55.0	0.0	1.39583
Nobody	1	57	0.5	150	1.0	56.0	0.0	0.973417
Nobody	1	58	2.0	90	1.0	57.0	1.0	1.09166
Nobody	1	59	2.0	120	1.0	58.0	1.0	1.69225
Nobody	1	60	2.0	150	1.0	59.0	0.0	1.35342
Nobody	1	61	0.5	90	1.0	60.0	0.0	0.508145
Nobody	1	62	0.5	120	1.0	61.0	1.0	1.10973
Nobody	1	63	1.0	120	1.0	62.0	1.0	1.13891
Nobody	1	64	2.0	90	1.0	63.0	1.0	1.02694
Nobody	1	65	0.5	120	1.0	64.0	0.0	1.19825
Nobody	1	66	1.0	90	1.0	65.0	1.0	0.986434
Nobody	1	67	0.5	150	1.0	66.0	0.0	0.556244
Nobody	1	68	1.0	120	1.0	67.0	1.0	1.29267
Nobody	1	69	2.0	120	1.0	68.0	1.0	1.26894
Nobody	1	70	1.0	150	1.0	69.0	1.0	0.581094
Nobody	1	71	0.5	90	1.0	70.0	1.0	0.857936
Nobody	1	72	2.0	150	1.0	71.0	0.0	1.07502
Nobody	1	73	0.5	150	1.0	72.0	1.0	0.390761
Nobody	1	74	0.5	120	1.0	73.0	1.0	0.442504
Nobody	1	75	0.5	90	1.0	74.0	0.0	0.352331
Nobody	1	76	1.0	120	1.0	75.0	1.0	0.676978
Nobody	1	77	1.0	90	1.0	76.0	1.0	0.754925
Nobody	1	78	2.0	120	1.0	77.0	1.0	1.7639
Nobody	1	79	2.0	90	1.0	78.0	0.0	1.79259
Nobody	1	80	1.0	150	1.0	79.0	0.0	1.27035
Nobody	1	81	2.0	150	1.0	80.0	0.0	1.54582
Nobody	1	82	2.0	150	1.0	81.0	1.0	1.57821
Nobody	1	83	0.5	150	1.0	82.0	0.0	0.906771
Nobody	1	84	1.0	150	1.0	83.0	1.0	1.40673
Nobody	1	85	2.0	90	1.0	84.0	0.0	1.35472
Nobody	1	86	1.0	120	1.0	85.0	1.0	1.0005
Nobody	1	87	1.0	90	1.0	86.0	0.0	1.07484
Nobody	1	88	2.0	120	1.0	87.0	1.0	1.46362
Nobody	1	89	0.5	120	1.0	88.0	1.0	0.286502
Nobody	1	90	0.5	90	1.0	89.0	1.0	0.572127
participant	session	TrialNumber	sf	ori	ran	order	choice	RT
Nobody	1	1	0.5	90	1.0	0.0	1.0	0.863978
Nobody	1	2	0.5	150	1.0	1.0	1.0	0.279268
Nobody	1	3	2.0	120	1.0	2.0	1.0	1.93387
Nobody	1	4	1.0	150	1.0	3.0	1.0	1.18926
Nobody	1	5	2.0	150	1.0	4.0	1.0	1.57869
Nobody	1	6	0.5	120	1.0	5.0	1.0	0.757012
Nobody	1	7	2.0	90	1.0	6.0	1.0	1.75038
Nobody	1	8	1.0	90	1.0	7.0	1.0	1.26034
Nobody	1	9	1.0	120	1.0	8.0	0.0	1.14733
Nobody	1	10	0.5	150	1.0	9.0	1.0	0.413258
Nobody	1	11	0.5	90	1.0	10.0	0.0	1.15914
Nobody	1	12	1.0	120	1.0	11.0	1.0	1.21022
Nobody	1	13	2.0	120	1.0	12.0	0.0	1.67958
Nobody	1	14	1.0	90	1.0	13.0	0.0	0.83341
Nobody	1	15	2.0	150	1.0	14.0	1.0	1.55007
Nobody	1	16	1.0	150	1.0	15.0	0.0	1.02646
Nobody	1	17	0.5	120	1.0	16.0	0.0	0.652138
Nobody	1	18	2.0	90	1.0	17.0	0.0	1.33739
Nobody	1	19	2.0	90	1.0	18.0	0.0	1.34505
Nobody	1	20	0.5	150	1.0	19.0	1.0	0.837902
Nobody	1	21	2.0	150	1.0	20.0	0.0	1.11322
Nobody	1	22	1.0	90	1.0	21.0	1.0	0.930049
Nobody	1	23	0.5	120	1.0	22.0	0.0	0.50262
Nobody	1	24	2.0	120	1.0	23.0	1.0	1.5561
Nobody	1	25	1.0	150	1.0	24.0	0.0	1.0546
Nobody	1	26	0.5	90	1.0	25.0	1.0	0.728668
Nobody	1	27	1.0	120	1.0	26.0	1.0	0.872276
Nobody	1	28	0.5	150	1.0	27.0	0.0	0.72582
Nobody	1	29	1.0	120	1.0	28.0	0.0	1.28747
Nobody	1	30	2.0	150	1.0	29.0	1.0	1.03454
Nobody	1	31	2.0	120	1.0	30.0	0.0	1.79769
Nobody	1	32	1.0	90	1.0	31.0	0.0	0.690178
Nobody	1	33	0.5	120	1.0	32.0	1.0	0.413374
Nobody	1	34	2.0	90	1.0	33.0	1.0	1.01028
Nobody	1	35	1.0	150	1.0	34.0	0.0	1.08727
Nobody	1	36	0.5	90	1.0	35.0	0.0	0.420971
Nobody	1	37	1.0	120	1.0	36.0	1.0	0.509966
Nobody	1	38	0.5	120	1.0	37.0	1.0	0.832215
Nobody	1	39	1.0	150	1.0	38.0	1.0	1.15069
Nobody	1	40	0.5	150	1.0	39.0	1.0	0.538999
Nobody	1	41	0.5	90	1.0	40.0	0.0	1.1203
Nobody	1	42	2.0	90	1.0	41.0	1.0	1.25007
Nobody	1	43	1.0	90	1.0	42.0	1.0	1.15222
Nobody	1	44	2.0	150	1.0	43.0	1.0	1.41095
Nobody	1	45	2.0	120	1.0	44.0	0.0	1.796
Nobody	1	46	0.5	150	1.0	45.0	0.0	0.330109
Nobody	1	47	0.5	120	1.0	46.0	0.0	0.501446
Nobody	1	48	1.0	150	1.0	47.0	1.0	1.42554
Nobody	1	49	2.0	150	1.0	48.0	1.0	1.69374
Nobody	1	50	1.0	90	1.0	49.0	1.0	1.4541
Nobody	1	51	1.0	120	1.0	50.0	0.0	0.877747
Nobody	1	52	0.5	90	1.0	51.0	0.0	1.0795
Nobody	1	53	2.0	120	1.0	52.0	0.0	1.69077
Nobody	1	54	2.0	90	1.0	53.0	0.0	1.57512
Nobody	1	55	1.0	120	1.0	54.0	1.0	0.818659
Nobody	1	56	0.5	90	1.0	55.0	0.0	0.981883
Nobody	1	57	2.0	150	1.0	56.0	1.0	1.62307
Nobody	1	58	0.5	150	1.0	57.0	1.0	0.649367
Nobody	1	59	2.0	90	1.0	58.0	0.0	1.40488
Nobody	1	60	1.0	90	1.0	59.0	1.0	0.773536
Nobody	1	61	2.0	120	1.0	60.0	0.0	1.45315
Nobody	1	62	0.5	120	1.0	61.0	0.0	0.278826
Nobody	1	63	1.0	150	1.0	62.0	0.0	0.618007
Nobody	1	64	1.0	90	1.0	63.0	1.0	0.960996
Nobody	1	65	1.0	150	1.0	64.0	0.0	0.846838
Nobody	1	66	0.5	120	1.0	65.0	0.0	1.19948
Nobody	1	67	2.0	120	1.0	66.0	0.0	1.36371
Nobody	1	68	0.5	150	1.0	67.0	1.0	0.414184
Nobody	1	69	0.5	90	1.0	68.0	0.0	0.982302
Nobody	1	70	2.0	90	1.0	69.0	0.0	1.20459
Nobody	1	71	1.0	120	1.0	70.0	1.0	0.740041
Nobody	1	72	2.0	150	1.0	71.0	1.0	1.80642
Nobody	1	73	0.5	90	1.0	72.0	0.0	0.463542
Nobody	1	74	0.5	120	1.0	73.0	1.0	0.985833
Nobody	1	75	1.0	90	1.0	74.0	1.0	1.36474
Nobody	1	76	2.0	120	1.0	75.0	1.0	1.38868
Nobody	1	77	1.0	120	1.0	76.0	0.0	0.638512
Nobody	1	78	2.0	150	1.0	77.0	1.0	1.16879
Nobody	1	79	0.5	150	1.0	78.0	1.0	0.735956
Nobody	1	80	2.0	90	1.0	79.0	1.0	1.15292
Nobody	1	81	1.0	150	1.0	80.0	0.0	1.20595
Nobody	1	82	2.0	120	1.0	81.0	0.0	1.88842
Nobody	1	83	1.0	90	1.0	82.0	0.0	1.38048
Nobody	1	84	1.0	120	1.0	83.0	0.0	1.29874
Nobody	1	85	2.0	150	1.0	84.0	0.0	1.6169
Nobody	1	86	2.0	90	1.0	85.0	0.0	1.00405
Nobody	1	87	0.5	90	1.0	86.0	0.0	0.324393
Nobody	1	88	0.5	120	1.0	87.0	0.0	0.631672
Nobody	1	89	0.5	150	1.0	88.0	1.0	0.52608
Nobody	1	90	1.0	150	1.0	89.0	0.0	1.09575
sf	ori	thisN	thisTrialN	thisRepN	RT	choice
2.0	120	0	0	1	1.4941209148	0.0
1.0	90	1	1	1	0.986885860986	1.0
0.5	120	2	2	1	0.553117606981	1.0
2.0	150	3	3	1	1.75696813655	0.0
0.5	90	4	4	1	0.569459378712	1.0
0.5	150	5	5	1	1.06068515369	0.0
1.0	120	6	6	1	1.37613266799	1.0
1.0	150	7	7	1	1.21652303043	1.0
2.0	90	8	8	1	1.82781826011	1.0
2.0	90	9	0	2	1.25023128439	1.0
2.0	150	10	1	2	1.61278612509	1.0
1.0	90	11	2	2	1.05602807149	0.0
1.0	120	12	3	2	0.535768672267	1.0
0.5	150	13	4	2	0.345169506374	0.0
0.5	90	14	5	2	1.24213868716	1.0
1.0	150	15	6	2	1.45874378901	0.0
0.5	120	16	7	2	0.969588288554	0.0
2.0	120	17	8	2	1.19690784191	1.0
0.5	120	18	0	3	1.02668351849	1.0
1.0	150	19	1	3	0.575171203295	1.0
1.0	120	20	2	3	1.11218215419	1.0
2.0	150	21	3	3	1.9040847885	1.0
2.0	90	22	4	3	1.40616441546	0.0
2.0	120	23	5	3	1.20748493822	1.0
1.0	90	24	6	3	1.3354357431	0.0
0.5	150	25	7	3	0.981830496399	1.0
0.5	90	26	8	3	0.807081055253	1.0
0.5	120	27	0	4	1.22001897463	1.0
1.0	90	28	1	4	1.15382117466	0.0
1.0	120	29	2	4	1.12757181	0.0
1.0	150	30	3	4	1.25426432893	0.0
2.0	150	31	4	4	1.35540163929	0.0
2.0	90	32	5	4	1.01903619915	0.0
0.5	150	33	6	4	0.710597936414	1.0
0.5	90	34	7	4	0.63321532633	0.0
2.0	120	35	8	4	1.14064843229	0.0
1.0	120	36	0	5	1.23282746796	0.0
1.0	90	37	1	5	0.673750113871	1.0
0.5	120	38	2	5	0.410262695784	0.0
0.5	150	39	3	5	0.691516832823	1.0
1.0	150	40	4	5	0.506065029564	1.0
2.0	90	41	5	5	1.45850554061	0.0
2.0	150	42	6	5	1.89345767012	0.0
2.0	120	43	7	5	1.61966933682	1.0
0.5	90	44	8	5	0.638628951275	1.0
2.0	120	45	0	6	1.46903030336	1.0
2.0	150	46	1	6	1.33335820843	0.0
0.5	90	47	2	6	0.969586914649	0.0
1.0	120	48	3	6	0.858333166596	0.0
1.0	150	49	4	6	0.761999660752	1.0
0.5	150	50	5	6	1.02275814988	0.0
0.5	120	51	6	6	0.315882256271	1.0
2.0	90	52	7	6	1.6053680231	1.0
1.0	90	53	8	6	1.35796451678	0.0
2.0	90	54	0	7	1.88604118352	1.0
1.0	150	55	1	7	0.575504700679	1.0
0.5	120	56	2	7	0.509558438368	0.0
2.0	120	57	3	7	1.44306350083	1.0
1.0	90	58	4	7	0.607466396134	0.0
1.0	120	59	5	7	1.36528777828	1.0
0.5	150	60	6	7	0.711374818968	0.0
0.5	90	61	7	7	1.22222741168	0.0
2.0	150	62	8	7	1.88789263177	1.0
1.0	120	63	0	8	0.731803872259	0.0
1.0	90	64	1	8	0.877218772136	0.0
2.0	120	65	2	8	1.81514124609	1.0
2.0	90	66	3	8	1.39081461653	0.0
0.5	120	67	4	8	0.478660774837	1.0
2.0	150	68	5	8	1.89923276508	0.0
0.5	150	69	6	8	0.359785903845	1.0
1.0	150	70	7	8	0.503839580117	1.0
0.5	90	71	8	8	0.819532872155	0.0
0.5	150	72	0	9	0.385114785029	0.0
2.0	90	73	1	9	1.61959444807	0.0
0.5	90	74	2	9	0.444103147743	0.0
1.0	90	75	3	9	1.45270539124	1.0
1.0	120	76	4	9	1.30996417039	0.0
2.0	150	77	5	9	1.60724963507	0.0
1.0	150	78	6	9	1.17713318784	1.0
2.0	120	79	7	9	1.5107863142	1.0
0.5	120	80	8	9	0.950754038215	1.0
0.5	120	81	0	10	1.23586154828	0.0
1.0	120	82	1	10	1.37316008555	1.0
2.0	120	83	2	10	1.2684902227	0.0
1.0	90	84	3	10	1.28983550879	1.0
1.0	150	85	4	10	1.36954905603	0.0
2.0	90	86	5	10	1.91477086221	1.0
0.5	150	87	6	10	0.585493740149	0.0
2.0	150	88	7	10	1.4951901468	1.0
0.5	90	89	8	10	0.533365025732	0.0
